Fold_Index,Iterations,R2,MSE,MAE,CA,ARRMSE,Added_Pairs
5,0,0.5203,0.3633,0.4053,0.1949,0.6917,30
5,1,0.5203,0.363,0.4038,0.1893,0.6917,30
5,2,0.5214,0.3626,0.4036,0.2006,0.691,30
5,3,0.526,0.3574,0.4001,0.1977,0.6877,30
5,4,0.5164,0.3659,0.4021,0.2062,0.6945,30
5,5,0.5177,0.3622,0.4035,0.2062,0.6937,0
