Fold_Index,Iterations,R2,MSE,MAE,CA,ARRMSE,Added_Pairs
0,0,0.5132,0.5458,0.4081,0.2514,0.6875,30
0,1,0.5065,0.5485,0.413,0.2486,0.6941,30
0,2,0.5146,0.5423,0.4093,0.2571,0.6864,30
0,3,0.5122,0.5421,0.4059,0.2571,0.6894,30
0,4,0.5062,0.5528,0.4099,0.2684,0.6923,30
0,5,0.5143,0.5413,0.4096,0.2768,0.6866,0
