Fold_Index,Iterations,R2,MSE,MAE,CA,ARRMSE,Added_Pairs
2,0,0.5826,0.7089,0.5153,0.2175,0.6387,"[60, 60, 60, 60, 60]"
2,1,0.6106,0.6638,0.4913,0.209,0.6107,"[60, 60, 60, 60, 60]"
2,2,0.671,0.5706,0.4472,0.2316,0.5496,"[60, 60, 60, 60, 60]"
2,3,0.6738,0.5696,0.4312,0.2599,0.5441,"[60, 60, 60, 60, 60]"
2,4,0.667,0.5779,0.4296,0.2429,0.5507,"[60, 60, 60, 60, 60]"
2,5,0.0,0.0,0.0,0.0,0.0,0
