Fold_Index,Iterations,R2,MSE,MAE,CA,ARRMSE,Added_Pairs
3,0,0.4928,0.387,0.4061,0.2232,0.6822,"[60, 60, 60, 60, 60]"
3,1,0.535,0.3421,0.3733,0.2514,0.6439,"[60, 60, 60, 60, 60]"
3,2,0.5508,0.3231,0.3617,0.2684,0.6353,"[60, 60, 60, 60, 60]"
3,3,0.5714,0.3041,0.3492,0.2627,0.6166,"[60, 60, 60, 60, 60]"
3,4,0.5972,0.2802,0.3275,0.291,0.5953,"[60, 60, 60, 60, 60]"
3,5,0.0,0.0,0.0,0.0,0.0,0
