Fold_Index,Iterations,R2,MSE,MAE,CA,ARRMSE,Added_Pairs
3,0,0.5132,0.3625,0.3881,0.2712,0.6643,"[60, 60, 60, 60, 60]"
3,1,0.5584,0.3142,0.3667,0.2825,0.6313,"[60, 60, 60, 60, 60]"
3,2,0.5714,0.3036,0.3515,0.2768,0.6149,"[60, 60, 60, 60, 60]"
3,3,0.5832,0.2941,0.3379,0.2627,0.5985,"[60, 60, 60, 60, 60]"
3,4,0.6043,0.2775,0.331,0.2797,0.5828,"[60, 60, 60, 60, 60]"
3,5,0.0,0.0,0.0,0.0,0.0,0
