Fold_Index,Iterations,R2,MSE,MAE,CA,ARRMSE,Added_Pairs
5,0,0.5926,0.3059,0.368,0.226,0.6358,"[60, 60, 60, 60, 60]"
5,1,0.6645,0.2421,0.3305,0.2514,0.5761,"[60, 60, 60, 60, 60]"
5,2,0.6904,0.2253,0.3255,0.2401,0.5548,"[60, 60, 60, 60, 60]"
5,3,0.6686,0.2378,0.3196,0.274,0.5733,"[60, 60, 60, 60, 60]"
5,4,0.6989,0.2151,0.3039,0.2797,0.5441,"[60, 60, 60, 60, 60]"
5,5,0.0,0.0,0.0,0.0,0.0,0
