Fold_Index,Iterations,R2,MSE,MAE,CA,ARRMSE,Added_Pairs
5,0,0.6031,0.2941,0.3721,0.2288,0.6281,"[60, 60, 60, 60, 60]"
5,1,0.6619,0.2415,0.3423,0.2486,0.577,"[60, 60, 60, 60, 60]"
5,2,0.6885,0.2248,0.3154,0.2514,0.5533,"[60, 60, 60, 60, 60]"
5,3,0.7085,0.2104,0.312,0.2429,0.5332,"[60, 60, 60, 60, 60]"
5,4,0.7035,0.2086,0.3064,0.226,0.5332,"[60, 60, 60, 60, 60]"
5,5,0.0,0.0,0.0,0.0,0.0,0
