Fold_Index,Iterations,R2,MSE,MAE,CA,ARRMSE,AddedPairs
7,0,-0.4,1.199,0.7021,0.2627,1.1795,0
7,1,-0.4,1.199,0.7021,0.2627,1.1795,0
7,2,-0.4,1.199,0.7021,0.2627,1.1795,0
7,3,-0.4,1.199,0.7021,0.2627,1.1795,0
7,4,-0.4,1.199,0.7021,0.2627,1.1795,0
